config,loyo_r2,loyo_rmse
huber[sat50],-0.17645948273824708,6.625480687027195
huber[sqrt],-0.17965819545169825,6.634481686884287
mean[sqrt],-0.18515598984230208,6.649923709477568
mean[sat50],-0.18589391733148664,6.651993647078682
"meridge[p0.5,k1,l100]",-0.20033276724324556,6.692366798247725
"meridge[p0.5,k1,l30]",-0.20135268650953342,6.69520943684666
me0[p0.25],-0.2059820476606644,6.708096884958177
"meridge[p0.5,k1,l300]",-0.20989187813859544,6.718962012877815
"mehub[p0.25,c1.345]",-0.21226700220722705,6.725553735840553
"mehub[p0.5,c1.345]",-0.21246395628744552,6.726100055854954
"mehub[p0.75,c1.345]",-0.21286995081395244,6.727226081594624
"mehub[p1.0,c1.345]",-0.21405643653013073,6.730515719767558
clim,-0.21495511524333555,6.733006317448089
"mehub[p0.25,c2.0]",-0.2174841549552775,6.7400103573507835
me[p0.25],-0.21756639079746587,6.740237982928705
"mehub[p0.5,c2.0]",-0.2190198900976874,6.744259943939865
me[p0.5],-0.21907303779631704,6.7444069628651
"mehub[p0.75,c2.0]",-0.22060344673576182,6.748639056835606
me[p0.75],-0.2206187905712198,6.748681474248939
me[p1.0],-0.222772688645396,6.754633195321771
"mehub[p1.0,c2.0]",-0.22277268864539623,6.754633195321772
"meridge[p0.5,k2,l300]",-0.22408069662953012,6.7582449674644405
"mehub[p1.0,c1.0]",-0.2243135525231199,6.758887744669268
"mehub[p0.75,c1.0]",-0.22604704187375946,6.763670961983879
"meridge[p1.0,k1,l300]",-0.2274208688089634,6.767459361391557
"mehub[p0.5,c1.0]",-0.22846287790379738,6.770331342137957
"mehub[p0.25,c1.0]",-0.2312448882084468,6.777993144671255
"meridge[p0.5,k1,l10]",-0.23282092470656113,6.782329791433543
medrop6,-0.2328773319909263,6.782484951206352
medrop2,-0.23399655177141176,6.785562860534206
"meridge[p1.0,k1,l100]",-0.23853871039585806,6.79803971588831
"meridge[p0.5,k2,l100]",-0.24117236377148643,6.805263621171016
"meridge[p0.5,k3,l300]",-0.24303850470875754,6.810377661507073
"meridge[p1.0,k2,l300]",-0.25152505002627734,6.833586220898393
me0[p0.5],-0.2526303019786085,6.8366030073883035
"meridge[p1.0,k3,l300]",-0.267258098024419,6.876404923429423
medrop4,-0.2726708611507991,6.891074662554331
"meridge[p1.0,k1,l30]",-0.27643633637847276,6.901261509260509
medrop8,-0.28930213532286553,6.935954827466907
"meridge[p0.5,k3,l100]",-0.2923275965479446,6.944087973982504
me0[p0.75],-0.3035219734899832,6.9740986019210975
"meridge[p1.0,k2,l100]",-0.3046708234734814,6.977171211601474
"meridge[p0.5,k2,l30]",-0.30841439222715117,6.987174045240062
me0[p1.0],-0.31919413061863233,7.015897899282218
"meridge[p1.0,k1,l10]",-0.33689924206070154,7.062821714401193
"meridge[p1.0,k3,l100]",-0.34791407885674963,7.091857651083602
"meridge[p0.5,k2,l10]",-0.4154796106086931,7.267427601361401
"meridge[p0.5,k3,l30]",-0.42644438862775935,7.295521261831927
"meridge[p1.0,k2,l30]",-0.4389071764756598,7.32732229125397
"meridge[p1.0,k3,l30]",-0.5413257527911102,7.583612302091701
"meridge[p1.0,k2,l10]",-0.6047234375517536,7.738004944159262
"meridge[p0.5,k3,l10]",-0.6171136225541809,7.767820349276537
"meridge[p1.0,k3,l10]",-0.7897432246306644,8.171923050724152
