config,loyo_r2,loyo_rmse
"huber[sat50,c1.345]",-0.17645948273824708,6.625480687027195
"huber[sat100,c1.345]",-0.1765135066475605,6.625632808823136
"huber[sat200,c1.345]",-0.1769084967872403,6.626744925256461
"huber[sat25,c1.345]",-0.1778460791476164,6.6293839928816265
"huber[sat400,c1.345]",-0.17827008553218016,6.63057712340341
"huber[sqrt,c1.345]",-0.17965819545169825,6.634481686884287
trim8+mean[equal],-0.18062277885172606,6.637193575494697
"huber[sat200,c1.0]",-0.18070739829284288,6.637431426888791
trim8+mean[sqrt],-0.18115654400491943,6.638693759288105
"huber[sat100,c1.0]",-0.18221360253486463,6.641663695218504
"huber[sat400,c1.0]",-0.18266113123319005,6.642920682052202
"huber[log,c1.345]",-0.18318518774088433,6.64439231249458
trim6+mean[sqrt],-0.1849168824831715,6.649252858586647
mean[sqrt],-0.18515598984230208,6.649923709477568
blend0.25+eb[sqrt],-0.18515598984230208,6.649923709477568
blend0.5+eb[sqrt],-0.18515598984230208,6.649923709477568
geo[sqrt],-0.18515598984230208,6.649923709477568
blend0.1+eb[sqrt],-0.1851559898423023,6.6499237094775685
"huber[sat25,c2.0]",-0.1852011445840771,6.650050390155221
geo[sat25],-0.18524169191690731,6.650164142787665
mean[sat25],-0.18524169191690731,6.650164142787665
"fe[sqrt,k1,l300,s0.25]",-0.1856372759481728,6.651273823323914
"feW[sqrt,k1,l300,s0.25]",-0.18570236378272953,6.651456388041511
"huber[sqrt,c2.0]",-0.1857944673506211,6.651714720565459
mean[sat50],-0.18589391733148664,6.651993647078682
geo[sat50],-0.18589391733148686,6.651993647078682
"huber[sat50,c2.0]",-0.18589391733148708,6.651993647078684
"huber[sqrt,c1.0]",-0.18599584530578328,6.6522795114629645
"feW[sqrt,k2,l300,s0.25]",-0.1862021723501497,6.652858133000844
"fe[sqrt,k1,l300,s0.5]",-0.18623229901722382,6.652942615719791
"feW[sqrt,k1,l300,s0.5]",-0.18631688570872762,6.653179812250959
"huber[sat50,c1.0]",-0.18639532195108188,6.653399754243228
trim4+mean[sqrt],-0.18651807441064627,6.653743948140662
mean[sat400],-0.18660554905758842,6.653989213336454
geo[sat400],-0.18660554905758864,6.653989213336455
"fe[sqrt,k1,l100,s0.25]",-0.1866532081173078,6.654122838063459
"feW[sqrt,k1,l100,s0.25]",-0.18672721214739463,6.654330322535803
"huber[sat400,c2.0]",-0.1870763767641439,6.655309185156246
"fe[sqrt,k2,l300,s0.25]",-0.18734236769152735,6.656054778591445
"huber[sat100,c2.0]",-0.18734649268426895,6.656066340612035
mean[sat100],-0.18734649268426917,6.656066340612035
geo[sat100],-0.18734649268426962,6.656066340612036
mean[sat200],-0.18748211771597179,6.656446475407085
geo[sat200],-0.187482117715972,6.656446475407085
"feW[sqrt,k2,l300,s0.5]",-0.1874826793047959,6.656448049403632
"huber[sat200,c2.0]",-0.18750179374749765,6.656501622304125
"feW[sqrt,k1,l300,s1.0]",-0.1877503735174355,6.657198288644558
"fe[sqrt,k1,l300,s1.0]",-0.1877635560448636,6.65723523178408
"feW[sqrt,k3,l300,s0.25]",-0.18797941216198577,6.65784012476073
"feW[sqrt,k2,l100,s0.25]",-0.18809730858295004,6.6581704823580585
trim2+mean[sqrt],-0.188606820964621,6.659597998709575
"feW[sqrt,k1,l100,s0.5]",-0.1887636986911223,6.660037466204137
mean[log],-0.18879638495749362,6.66012902782505
geo[log],-0.18879638495749362,6.66012902782505
"fe[sqrt,k1,l100,s0.5]",-0.1889269385831791,6.6604947254887525
"huber[log,c2.0]",-0.18893446613745102,6.66051581053382
"feW[sqrt,k1,l30,s0.25]",-0.18945645326842553,6.661977759077019
"fe[sqrt,k3,l300,s0.25]",-0.1896010079672641,6.662382562014022
"fe[sqrt,k1,l30,s0.25]",-0.1897497609252219,6.662799095846441
"fe[sqrt,k2,l300,s0.5]",-0.1899546510319412,6.663372780706057
"feW[sqrt,k2,l300,s1.0]",-0.19074666655448103,6.665589931085487
"feW[sqrt,k3,l300,s0.5]",-0.19106172027977775,6.6664716803727435
"fe[sqrt,k2,l100,s0.25]",-0.19161720561387674,6.668026048010331
"blend0.1+ridge[sqrt,k1,l100]",-0.19200431810154317,6.6691090579454
"feW[sqrt,k2,l30,s0.25]",-0.19222610494700443,6.669729463359146
"huber[sat25,c1.0]",-0.19234383397209265,6.670058763883782
"feW[sqrt,k3,l100,s0.25]",-0.19235322090534246,6.670085019428272
"feW[sqrt,k2,l100,s0.5]",-0.19238851416055902,6.670183734836926
trim8+mean[lin],-0.19266688572331625,6.670962290270232
geo[lin],-0.19273060521288343,6.67114048949746
mean[lin],-0.19273060521288365,6.671140489497461
"huber[lin,c1.345]",-0.19300235261682608,6.6719004104108866
"huber[lin,c2.0]",-0.19301871884373045,6.671946174554297
"feW[sqrt,k1,l10,s0.25]",-0.19313215566397468,6.672263364199716
trim6+mean[lin],-0.19333722999716763,6.672836750459959
trim2+mean[lin],-0.19365945724018663,6.673737595839834
trim4+mean[lin],-0.19369571194405633,6.673838944906185
trim6+mean[equal],-0.19387335983122034,6.674335532633164
"fe[equal,k2,l10,s0.5]",-0.1939650758935807,6.674591896514964
"feW[sqrt,k1,l100,s1.0]",-0.1942324644944824,6.67533924244431
"fe[sqrt,k1,l10,s0.25]",-0.1943646492475375,6.675708665349897
"fe[sqrt,k3,l300,s0.5]",-0.194521616725984,6.676147323146044
"fe[sqrt,k1,l100,s1.0]",-0.19580393608751634,6.679729785170578
"feW[sqrt,k2,l10,s0.25]",-0.19618671827455714,6.680798805314387
"feW[sqrt,k1,l30,s0.5]",-0.19621024417508792,6.680864502012477
"fe[sqrt,k2,l300,s1.0]",-0.19645693418633603,6.68155335147912
"fe[sqrt,k3,l100,s0.25]",-0.19653183079477654,6.681762476370953
"feW[lin,k1,l300,s0.25]",-0.19681523167328585,6.682553723704959
"feW[lin,k2,l300,s0.25]",-0.19683991637873977,6.6826226382773255
"feW[lin,k3,l300,s0.25]",-0.19699556518537142,6.6830571610607015
"fe[equal,k3,l100,s1.0]",-0.1970322301695333,6.683159514116851
"fe[lin,k1,l300,s0.25]",-0.19768687436572585,6.684986738759864
"fe[lin,k2,l300,s0.25]",-0.1979300417186911,6.685665333500613
"feW[sqrt,k3,l300,s1.0]",-0.19800299390968812,6.685868904031454
"fe[sqrt,k1,l30,s0.5]",-0.198438062682607,6.6870828195017715
"huber[log,c1.0]",-0.19851770131224367,6.687305000890043
"fe[equal,k2,l30,s0.5]",-0.19873279084258377,6.687905035734166
"fe[equal,k2,l10,s0.25]",-0.19878015187747544,6.688037151489082
"fe[equal,k2,l30,s1.0]",-0.19953910006743159,6.690153915998543
"fe[lin,k3,l300,s0.25]",-0.19987463831789176,6.691089544350125
"blend0.1+gamma[k1,l100]",-0.20001023029813747,6.6914675973660795
"fe[sqrt,k2,l100,s0.5]",-0.2005556714671186,6.692988162430479
"feW[sqrt,k3,l30,s0.25]",-0.20071318352450374,6.693427205693695
"feW[sqrt,k3,l100,s0.5]",-0.2009890465885762,6.694196066783649
"feW[lin,k1,l300,s0.5]",-0.201061757672109,6.69439870596834
"feW[lin,k2,l300,s0.5]",-0.20144401900831754,6.695463932713264
"fe[equal,k2,l100,s1.0]",-0.2017995740148768,6.696454586285949
"fe[equal,k3,l30,s0.5]",-0.20180509538095825,6.696469968857033
