config,loyo_r2,loyo_rmse
"gamma[k2,l10]",-0.48522351152837295,7.444316220194725
"gamma[k3,l10]",-0.5056469017446388,7.495325063511892
"ridge[sat50,k1,l10,log]",-0.5058645978438443,7.495866905045405
"ridge[sqrt,k2,l30,log]",-0.5105344331917194,7.507480621247265
"ridge[sat50,k2,l10,log]",-0.5179867526919095,7.525977156895204
"ridge[sat50,k3,l30]",-0.5403600889732527,7.581236306173279
"ridge[equal,k1,l3,log]",-0.5406723218856782,7.582004630270563
"ridge[lin,k1,l30]",-0.5432107577709206,7.588248174470506
"ridge[equal,k5,l30,log]",-0.543687226792561,7.5894195265138045
"ridge[sqrt,k3,l30]",-0.5496283294452404,7.604009988753865
"gamma[k2,l30,pw]",-0.5523009866936348,7.610564514378018
"ridge[sqrt,k5,l30]",-0.5580396811665131,7.624619267330239
"gamma[k3,l30,pw]",-0.5610303189119712,7.6319334399646355
"gamma[k1,l10,pw]",-0.5611446464047707,7.632212910462275
"ridge[sqrt,k3,l30,log]",-0.5708160909628863,7.655817563267436
"gamma[k2,l3]",-0.5741136458399076,7.66384913467711
"ridge[equal,k2,l10,log]",-0.5749581408685613,7.665904645311241
"ridge[sat50,k5,l30]",-0.5787028932636276,7.675012782950403
"gamma[k3,l3]",-0.5901226785477629,7.7027219444274
"ridge[sat50,k3,l30,log]",-0.596701681182424,7.718640187597494
"ridge[equal,k3,l10,log]",-0.6042199096423089,7.736790838646247
"gamma[k1,l3,pw]",-0.6057435820454316,7.740464130828928
"ridge[sat50,k1,l10]",-0.6076202850171124,7.744986119963046
"ridge[lin,k1,l30,log]",-0.6150262984081922,7.762805490005375
"ridge[sat50,k1,l3,log]",-0.6219930375328155,7.779530680007991
"ridge[sqrt,k1,l10]",-0.6316041723004227,7.802545477316869
"ridge[sat50,k2,l3,log]",-0.6371941318140362,7.815900009111521
"ridge[lin,k5,l30]",-0.6397778727809302,7.822064916355096
"gamma[k3,l10,pw]",-0.647872553363877,7.841347762490829
"gamma[k2,l10,pw]",-0.6480788625502494,7.841838604893228
"ridge[sat50,k2,l10]",-0.6664242235639086,7.885362987460455
"ridge[lin,k2,l30]",-0.6668838122213969,7.8864502776900585
"ridge[lin,k3,l30]",-0.6739272373521423,7.903094829079036
"ridge[equal,k2,l3,log]",-0.6817892772620506,7.921632570358294
"gamma[k3,l3,pw]",-0.6909389553670695,7.943151935171045
"gamma[k2,l3,pw]",-0.6962345857887058,7.955580271121889
"ridge[sqrt,k2,l10]",-0.7031437908131983,7.971766380017027
"ridge[equal,k3,l3,log]",-0.704227161442579,7.9743013992686524
"ridge[sqrt,k1,l10,log]",-0.7143929924094574,7.998049662117313
"ridge[sqrt,k2,l10,log]",-0.7477237867102313,8.075423429936977
"ridge[lin,k3,l30,log]",-0.7478728878583205,8.075767886319328
"ridge[equal,k5,l10,log]",-0.755771077354271,8.093993482714966
"ridge[lin,k2,l30,log]",-0.764891779201901,8.114989180427846
"ridge[sat50,k1,l3]",-0.7700766445450498,8.126900468726083
"ridge[sqrt,k1,l3]",-0.813373174690831,8.22569303379559
"ridge[sqrt,k5,l30,log]",-0.8178976765816808,8.235948500849398
"ridge[sat50,k2,l3]",-0.8204733149928192,8.24178087447524
"ridge[sat50,k3,l10]",-0.8214043115872245,8.243888043282569
"ridge[sat50,k5,l30,log]",-0.8237605187317583,8.249218553899794
"ridge[lin,k5,l30,log]",-0.8354017362608122,8.27550440403541
"ridge[sqrt,k3,l10]",-0.8403746346358476,8.286707783600855
"ridge[sqrt,k3,l10,log]",-0.8448021328546726,8.29666970746934
"ridge[sqrt,k2,l3]",-0.8761004462823998,8.366753005968016
"ridge[sqrt,k1,l3,log]",-0.8903878822582107,8.398551069492399
"ridge[sat50,k3,l10,log]",-0.8970921835903436,8.413430709539206
"ridge[sqrt,k5,l10]",-0.9124076456823251,8.447323779660268
"ridge[lin,k1,l10]",-0.9172954603337087,8.458111909655267
"ridge[equal,k5,l3,log]",-0.9260342302587723,8.477365453254441
"ridge[sqrt,k2,l3,log]",-0.9362856345830772,8.499896093523592
"ridge[sat50,k5,l10]",-0.9406667202579448,8.50950669327525
"ridge[lin,k1,l10,log]",-1.0144249971446064,8.669707711640747
"ridge[sat50,k3,l3]",-1.0466489733035806,8.738775572085288
"ridge[sqrt,k3,l3,log]",-1.0589223258601006,8.764938768564878
"ridge[sqrt,k3,l3]",-1.069441485950978,8.787300547154933
"ridge[lin,k3,l10]",-1.0695206366657657,8.787468591159499
"ridge[lin,k2,l10]",-1.0828512475866403,8.815724963109119
"ridge[lin,k5,l10]",-1.0868158075219316,8.82411102870138
"ridge[sat50,k3,l3,log]",-1.1379662702474955,8.931601328971276
"ridge[lin,k3,l10,log]",-1.1557328975144294,8.968635618836133
"ridge[lin,k2,l10,log]",-1.1885522727740736,9.03664802697692
"ridge[lin,k1,l3]",-1.2531638962976959,9.1690701808846
"ridge[sqrt,k5,l3]",-1.2769162484118128,9.217272627209454
