Experiment,N_features,RMSE,MAE,R2
A_Weather_only,9,8.4245,7.1234,-0.9021
B_Satellite_only,11,8.0185,6.511,-0.7232
C_Historical_only,5,8.136,6.451,-0.774
D_Soil_only,4,6.9527,5.3473,-0.2955
E_Weather+Satellite,20,8.7839,7.5248,-1.0678
F_All_features,32,7.976,6.2876,-0.7049
