season_avg_temp,season_total_rainfall,season_avg_humidity,season_avg_solar_rad,growing_degree_days,heat_stress_days,drought_index_spi,temp_range,max_daily_rainfall,season_mean_ndvi,season_max_ndvi,season_min_ndvi,ndvi_std,ndvi_anomaly,time_to_peak_ndvi,ndvi_growth_rate,season_mean_evi,season_mean_ndwi,season_mean_lst_day,season_mean_lst_night,prev_season_yield,prev_year_yield,yield_3yr_avg,season_indicator,extent_prev_season,soil_ph,organic_carbon,clay_pct,sand_pct,rainfall_x_ndvi,temp_x_humidity,ndvi_x_lst,Year,Season,District,Avg_Yield_MT_per_Ha
25.495,20.84,84.69,18.0,929.7,0.0,1.194,0.79,13.56,0.7008,0.7615,0.6401,0.0607,0.0574,30.0,0.12131,0.4844,0.1,31.5,19.5,7.85415,7.85415,11.784516,1.0,400.0,5.7,1.8,33.7,39.6,14.604672,2159.1716,22.0752,2023,Yala,Kurunegala,15.7803
26.197,10.0,81.98,18.0,1457.7,0.0,-1.08,0.73,4.52,0.6698,0.7066,0.6051,0.0459,0.0264,0.0,-0.05076,0.4608,0.1,32.2,20.2,15.7803,15.7803,12.992639,1.0,400.0,5.7,1.8,33.7,39.6,6.698,2147.6301,21.56756,2024,Yala,Kurunegala,28.961285
25.375,16.76,85.37,18.0,922.5,0.0,0.338,0.53,11.54,0.5616,0.6694,0.4539,0.1077,-0.0818,30.0,0.2155,0.3748,0.1,31.38,19.38,30.034733,30.034733,17.889729,1.0,400.0,5.7,1.8,33.7,39.6,9.412416,2166.2637,17.623009,2025,Yala,Kurunegala,12.82865
25.74,10.4,80.25,18.0,944.4,0.0,-0.511,0.3,6.33,0.3936,0.432,0.3553,0.0383,-0.0601,30.0,0.0767,0.2595,0.1,31.74,19.74,16.015224,16.015224,15.75141,1.0,400.0,5.7,1.8,32.1,43.4,4.09344,2065.635,12.492864,2019,Yala,Matale,24.4302
25.463,10.4,82.907,18.0,1391.7,0.0,-0.511,0.57,5.43,0.4004,0.4489,0.3357,0.0476,-0.0533,60.0,0.0161,0.2263,0.1,31.46,19.46,24.4302,24.4302,24.4302,1.0,400.0,5.7,1.8,32.1,43.4,4.16416,2111.061,12.596584,2020,Yala,Matale,13.324734
25.22,14.92,86.525,18.0,913.2,0.0,0.441,0.42,10.58,0.488,0.6203,0.3557,0.1323,0.0343,0.0,-0.2646,0.3537,0.1,31.22,19.22,13.324734,13.324734,18.877466,1.0,400.0,5.7,1.8,32.1,43.4,7.28096,2182.1604,15.23536,2021,Yala,Matale,22.10305
24.96,16.39,84.883,18.0,1346.4,0.0,0.751,0.32,7.6,0.5129,0.5548,0.4767,0.0321,0.0592,0.0,-0.02385,0.2906,0.1,30.96,18.96,22.10305,22.10305,19.952662,1.0,400.0,5.7,1.8,32.1,43.4,8.406431,2118.6797,15.879384,2022,Yala,Matale,4.312056
25.495,20.84,84.69,18.0,929.7,0.0,1.689,0.79,13.56,0.4983,0.6287,0.3678,0.1305,0.0446,30.0,0.2609,0.3068,0.1,31.5,19.5,3.0019667,3.0019667,12.8099165,1.0,400.0,5.7,1.8,32.1,43.4,10.384572,2159.1716,15.69645,2023,Yala,Matale,21.01645
26.402,9.65,81.435,18.0,1968.3,0.0,-0.669,0.54,4.52,0.4402,0.4822,0.3916,0.0372,-0.0135,30.0,-0.02481,0.2326,0.1,32.4,20.4,21.01645,21.01645,15.373822,1.0,400.0,5.7,1.8,32.1,43.4,4.24793,2150.0469,14.26248,2024,Yala,Matale,25.267824
25.44,7.18,83.935,18.0,926.4,0.0,-1.19,0.4,5.22,0.4426,0.4899,0.3953,0.0473,-0.0111,0.0,-0.0946,0.2753,0.1,31.44,19.44,25.267824,25.267824,16.428747,1.0,400.0,5.7,1.8,32.1,43.4,3.177868,2135.3064,13.915344,2025,Yala,Matale,21.13355
28.455,6.54,72.185,18.0,1107.3,0.0,-0.683,0.47,4.2,0.5432,0.6451,0.4412,0.102,0.0033,0.0,-0.2039,0.3596,0.1,34.45,22.45,16.015224,16.015224,15.75141,1.0,400.0,6.0,1.8,29.7,31.5,3.552528,2054.0242,18.71324,2019,Yala,Polonnaruwa,9.4304
28.327,5.82,73.583,18.0,1649.4,0.0,-0.787,0.95,3.77,0.4995,0.526,0.4553,0.0314,-0.0404,60.0,0.00445,0.355,0.1,34.33,22.33,9.4304,9.4304,9.4304,1.0,400.0,6.0,1.8,29.7,31.5,2.90709,2084.3857,17.147835,2020,Yala,Polonnaruwa,15.660633
27.74,16.79,79.22,18.0,1064.4,0.0,0.793,1.06,13.64,0.5144,0.5319,0.4969,0.0175,-0.0255,30.0,0.035,0.3958,0.1,33.74,21.74,15.660633,15.660633,12.545517,1.0,400.0,6.0,1.8,29.7,31.5,8.636776,2197.5627,17.355856,2021,Yala,Polonnaruwa,16.25015
27.455,13.86,78.41,18.0,1047.3,0.0,0.371,0.65,11.86,0.5201,0.5348,0.5053,0.0148,-0.0198,0.0,-0.0295,0.3466,0.1,33.45,21.45,16.25015,16.25015,13.780395,1.0,400.0,6.0,1.8,29.7,31.5,7.208586,2152.7466,17.397345,2022,Yala,Polonnaruwa,13.0783
28.767,22.09,73.427,18.0,1689.0,0.0,1.556,3.07,17.19,0.591,0.617,0.5513,0.0285,0.0511,0.0,-0.00615,0.3969,0.1,34.77,22.77,13.0783,13.0783,14.996361,1.0,400.0,6.0,1.8,29.7,31.5,13.05519,2112.2744,20.54907,2023,Yala,Polonnaruwa,17.330233
28.503,11.73,76.957,18.0,1665.3,0.0,0.064,1.43,6.41,0.5711,0.6193,0.4862,0.0602,0.0312,0.0,-0.0058,0.3497,0.1,34.5,22.5,17.330233,17.330233,15.552895,1.0,400.0,6.0,1.8,29.7,31.5,6.699003,2193.5054,19.70295,2024,Yala,Polonnaruwa,26.059
28.81,2.17,71.57,18.0,564.3,0.0,-1.313,0.0,2.17,0.5403,0.5403,0.5403,0.0,0.0004,0.0,0.0,0.3233,0.1,34.81,22.81,26.059,26.059,18.822512,1.0,400.0,6.0,1.8,29.7,31.5,1.172451,2061.9316,18.807842,2025,Yala,Polonnaruwa,22.8462
