system:index,Date,District,Month,Year,.geo
20250220T050609_20250220T050606_T44NNN_4,2025-02-20,Monaragala,2,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250220T050609_20250220T050606_T44NNP_0,2025-02-20,Jaffna,2,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250220T050609_20250220T050606_T44NNP_1,2025-02-20,Matale,2,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250220T050609_20250220T050606_T44NNP_2,2025-02-20,Anuradhapura,2,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250220T050609_20250220T050606_T44NNP_3,2025-02-20,Polonnaruwa,2,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250220T050609_20250220T050606_T44NNP_4,2025-02-20,Monaragala,2,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250223T045719_20250223T050816_T44NMP_0,2025-02-23,Jaffna,2,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250223T045719_20250223T050816_T44NMP_1,2025-02-23,Matale,2,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250223T045719_20250223T050816_T44NMP_2,2025-02-23,Anuradhapura,2,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250223T045719_20250223T050816_T44NMP_3,2025-02-23,Polonnaruwa,2,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250223T045719_20250223T050816_T44NMP_4,2025-02-23,Monaragala,2,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250223T045719_20250223T050816_T44PLR_0,2025-02-23,Jaffna,2,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250223T045719_20250223T050816_T44PLR_1,2025-02-23,Matale,2,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250223T045719_20250223T050816_T44PLR_2,2025-02-23,Anuradhapura,2,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250223T045719_20250223T050816_T44PLR_3,2025-02-23,Polonnaruwa,2,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250223T045719_20250223T050816_T44PLR_4,2025-02-23,Monaragala,2,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250305T045659_20250305T051412_T44NMP_0,2025-03-05,Jaffna,3,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250305T045659_20250305T051412_T44NMP_1,2025-03-05,Matale,3,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250305T045659_20250305T051412_T44NMP_2,2025-03-05,Anuradhapura,3,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250305T045659_20250305T051412_T44NMP_3,2025-03-05,Polonnaruwa,3,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250305T045659_20250305T051412_T44NMP_4,2025-03-05,Monaragala,3,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250305T045659_20250305T051412_T44PLR_0,2025-03-05,Jaffna,3,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250305T045659_20250305T051412_T44PLR_1,2025-03-05,Matale,3,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250305T045659_20250305T051412_T44PLR_2,2025-03-05,Anuradhapura,3,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250305T045659_20250305T051412_T44PLR_3,2025-03-05,Polonnaruwa,3,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250305T045659_20250305T051412_T44PLR_4,2025-03-05,Monaragala,3,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
