year,Month,Season,District,Extent (hectares),Yield (MT),Temperature,Rainfall,Humidity,EVI - I,EVI - II,NDVI - I,NDVI - II,mean clay - 0-5cm,mean pH - 0-5cm,mean Sand
2022,November,Yala,Anuradhapura,1.8,29.88,25,7.64,87.55,0.3307,0.3517,0.4731,0.6652,276,58,480
2021,August,Yala,Anuradhapura,7.8,856.4,27.8,1.33,74.94,0.3593,0.4349,0.5534,0.6243,276,58,480
2021,August,Yala,Kurunegala,2.9,1,24.94,3.41,86.49,0.4171859971,0.3961425992,0.5968792432,0.5820593893,0,0,0
2021,September,Yala,Anuradhapura,869.7,17889.4,27.78,3.78,77.17,0.3633,0.4131,0.6595,0.7151,276,58,480
2021,September,Yala,Polannaruwa,125.8,2091.5,28.27,3.15,76.02,0.4276,0.4305,0.4969,0.5814,297,60,315
2021,September,Yala,Matale,1581.8,35054.9,25.43,4.34,85.62,0.5065,0.2585,0.6203,0.3526,0,0,0
2021,September,Yala,Kurunegala,23.6,430.4,25.43,4.34,85.62,0.4621542476,0.4118554315,0.60182033,0.6168956485,0,0,0
2021,October,Yala,Anuradhapura,313.4,5911.7,26.44,10.6,85.65,0.5952,0,0.6159,0,276,58,480
2021,October,Yala,Polannaruwa,134.9,2141.5,27.21,13.64,82.42,0.364,0,0.5319,0,297,60,315
2021,October,Yala,Matale,183.3,4040.8,25.01,10.58,87.43,0.2009,0,0.3557,0,0,0,0
2021,October,Yala,Kurunegala,2.9,79.6,25.01,10.58,87.43,0.4371369885,0,0.6337757984,0,0,0,0
2021,November,Yala,Anuradhapura,2.4,89.4,25.32,17.29,91.75,0.3509,0.3878,0.6068,0.6881,276,58,480
2020,August,Yala,Anuradhapura,187,508,28.2,0.78,73.37,0.3607,0.3387,0.6462,0.5684,276,58,480
2020,August,Yala,Polannaruwa,16,213,28.74,0.79,71.86,0.386,0.4526,0.5171,0.6048,297,60,315
2020,August,Yala,Matale,318,"3,091",25.66,2.71,82.44,0.206,0.2352,0.4167,0.3671,0,0,0
2020,August,Yala,Kurunegala,7,108,25.66,2.71,82.44,0.484800739,0.381912262,0.6659124136,0.5627427813,0,0,0
2020,September,Yala,Anuradhapura,774,10271,26.84,5.78,80.78,0.5085,0.4429,0.6323,0.5959,276,58,480
2020,September,Yala,Polannaruwa,183,2837,27.79,3.77,75.92,0.3259,0.4283,0.4553,0.5855,297,60,315
2020,September,Yala,Matale,895,"11,462",25.09,5.43,84.37,0.2337,0.293,0.3357,0.4609,0,0,0
2020,September,Yala,Kurunegala,51,869,25.09,5.43,84.37,0.3963517099,0.4775271199,0.541999693,0.6787621999,0,0,0
2020,October,Yala,Anuradhapura,23,230,27.56,1.94,76.67,0.3811,0.4487,0.6218,0.6102,276,58,480
2020,October,Yala,Polannaruwa,6,109,28.45,1.26,72.97,0.3531,0.6102,0.526,0.5487,297,60,315
2020,October,Yala,Matale,38,663,25.64,2.26,81.91,0.2393,0.3689,0.4489,0.5739,0,0,0
2020,October,Yala,Kurunegala,1,4,25.64,2.26,81.91,0.4699152173,0.485620728,0.6787295376,0.7227816808,0,0,0
2020,November,Yala,Anuradhapura,1,15,26.11,10.93,87.38,0.4727,0,0.6505,0,276,58,480
2019,August,Yala,Anuradhapura,77.86,2486,28.03,3,72.76,0.3955,0.3566,0.5318,0.5043,276,58,480
