system:index,Date,District,Month,Year,.geo
2000_04_30_0,2000-04-30,Jaffna,4,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_04_30_1,2000-04-30,Anuradhapura,4,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_04_30_2,2000-04-30,Polonnaruwa,4,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_04_30_3,2000-04-30,Matale,4,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_04_30_4,2000-04-30,Monaragala,4,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_05_08_0,2000-05-08,Jaffna,5,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_05_08_1,2000-05-08,Anuradhapura,5,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_05_08_2,2000-05-08,Polonnaruwa,5,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_05_08_3,2000-05-08,Matale,5,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_05_08_4,2000-05-08,Monaragala,5,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_05_16_0,2000-05-16,Jaffna,5,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_05_16_1,2000-05-16,Anuradhapura,5,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_05_16_2,2000-05-16,Polonnaruwa,5,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_05_16_3,2000-05-16,Matale,5,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_05_16_4,2000-05-16,Monaragala,5,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_05_24_0,2000-05-24,Jaffna,5,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
