year,month,season,district,temperature_c,rainfall,humidity_pct,evi_i,ndvi_i,clay_0_5cm,ph_0_5cm,sand_0_5cm,yield_mt_per_ha
2022,November,Yala,Anuradhapura,25.0,7.64,87.55,0.3307,0.4731,276.0,58.0,480.0,16.6
2022,October,Yala,Anuradhapura,26.62,7.15,80.89,0.4539,0.6803,276.0,58.0,480.0,12.1524
2022,October,Yala,Kurunegala,24.81,7.6,85.35,0.4539335174,0.759751494,337.0,57.0,396.0,7.5
2022,October,Yala,Matale,24.81,7.6,85.35,0.218,0.5071,321.0,57.0,434.0,3.054
2022,October,Yala,Polannaruwa,27.13,11.86,80.15,0.3512,0.5053,297.0,60.0,315.0,12.9335
2022,September,Yala,Anuradhapura,27.47,1.56,76.14,0.4495,0.6,276.0,58.0,480.0,13.3377
2022,September,Yala,Kurunegala,25.13,2.67,84.18,0.4943710405,0.6790669495,337.0,57.0,396.0,8.2083
2022,September,Yala,Matale,25.13,2.67,84.18,0.3345,0.4767,321.0,57.0,434.0,3.7506
2022,September,Yala,Polannaruwa,27.78,2.0,76.67,0.3419,0.5348,297.0,60.0,315.0,13.2231
2023,August,Yala,Polannaruwa,30.34,0.8,64.26,0.4228,0.617,297.0,60.0,315.0,15.4524
2023,October,Yala,Anuradhapura,26.92,10.54,82.95,0.4741,0.6725,276.0,58.0,480.0,18.0309
2023,October,Yala,Kurunegala,25.1,13.56,87.82,0.5455532506,0.7614534961,337.0,57.0,396.0,19.7273
2023,October,Yala,Matale,25.1,13.56,87.82,0.3808,0.6287,321.0,57.0,434.0,20.3165
2023,October,Yala,Polannaruwa,27.27,17.19,82.83,0.421,0.6047,297.0,60.0,315.0,18.9195
2023,September,Yala,Anuradhapura,28.28,2.42,72.9,0.3138,0.6526,276.0,58.0,480.0,19.6646
2023,September,Yala,Kurunegala,25.89,7.28,81.56,0.4233380091,0.6401415514,337.0,57.0,396.0,11.8333
2023,September,Yala,Matale,25.89,7.28,81.56,0.2327,0.3678,321.0,57.0,434.0,21.7164
2023,September,Yala,Polannaruwa,28.69,4.1,73.19,0.3468,0.5513,297.0,60.0,315.0,17.6188
2024,August,Yala,Anuradhapura,28.12,3.82,76.96,0.3001,0.5761,276.0,58.0,480.0,22.2414
2024,August,Yala,Kurunegala,26.08,4.52,82.05,0.5087335264,0.7066276186,337.0,57.0,396.0,23.0526
2024,August,Yala,Matale,26.08,4.52,82.05,0.21,0.3916,321.0,57.0,434.0,35.0957
2024,August,Yala,Polannaruwa,28.64,4.4,75.75,0.3529,0.6193,297.0,60.0,315.0,35.0
2024,July,Yala,Anuradhapura,28.87,0.24,71.94,0.2788,0.4068,276.0,58.0,480.0,16.2857
2024,July,Yala,Matale,26.39,1.62,80.47,0.311,0.4822,321.0,57.0,434.0,27.0
2024,June,Yala,Anuradhapura,28.15,0.82,79.34,0.4258,0.6203,276.0,58.0,480.0,16.1111
2024,June,Yala,Matale,26.52,2.03,82.81,0.2145,0.4698,321.0,57.0,434.0,14.0
2024,October,Yala,Anuradhapura,27.12,6.17,83.23,0.2732,0.4639,276.0,58.0,480.0,22.8581
2024,October,Yala,Kurunegala,25.89,4.0,83.48,0.4113920329,0.6051168543,337.0,57.0,396.0,35.7391
2024,October,Yala,Polannaruwa,27.72,6.41,81.9,0.3693,0.6077,297.0,60.0,315.0,21.3667
2024,September,Yala,Anuradhapura,28.89,0.81,73.33,0.2031,0.2807,276.0,58.0,480.0,21.3653
2024,September,Yala,Kurunegala,26.62,1.48,80.41,0.4621858749,0.6975074406,337.0,57.0,396.0,31.3125
2024,September,Yala,Matale,26.62,1.48,80.41,0.1949,0.4173,321.0,57.0,434.0,24.9756
2024,September,Yala,Polannaruwa,29.15,0.92,73.22,0.327,0.4862,297.0,60.0,315.0,21.8103
2025,August,Yala,Anuradhapura,28.23,1.22,72.88,0.3814,0.6116,276.0,58.0,480.0,21.087
2025,August,Yala,Matale,25.24,1.96,84.55,0.2712,0.4899,321.0,57.0,434.0,20.3016
2025,October,Yala,Kurunegala,25.11,11.54,87.42,0.4665879464,0.6693670007,337.0,57.0,396.0,13.8846
2025,September,Yala,Anuradhapura,28.39,2.19,72.63,0.4195,0.5916,276.0,58.0,480.0,21.0667
2025,September,Yala,Kurunegala,25.64,5.22,83.32,0.2829356769,0.453867862,337.0,57.0,396.0,11.7727
2025,September,Yala,Matale,25.64,5.22,83.32,0.2794,0.3953,321.0,57.0,434.0,21.9655
2025,September,Yala,Polannaruwa,28.81,2.17,71.57,0.3233,0.5403,297.0,60.0,315.0,22.8462
2023,September,Yala,Polannaruwa,28.66368025674152,4.066653835155358,72.95448252303817,0.34620508352028667,0.5567541224549866,294.4459598693536,59.99878730093178,317.61381744017996,17.792087070382244
2020,October,Yala,Anuradhapura,27.451645295010437,2.080015282369066,76.71709557651214,0.38457670859575294,0.6143451582048596,277.08000423186286,58.04695400735229,487.0414750236381,10.126167243379681
2025,September,Yala,Kurunegala,25.66811844478675,5.4493692203887365,83.56652202846358,0.2880499161429891,0.45878054394357676,337.45369617934335,57.042452128380106,391.5677071111082,11.47973287667727
2024,October,Yala,Anuradhapura,27.03601514395682,6.228198246847776,83.2769962277495,0.27309011222823876,0.4601589957831619,273.8360635448269,57.968158340972714,483.3576812287832,23.043084067087094
2020,September,Yala,Matale,25.047770623803668,5.485287189777027,84.42597982411753,0.2311718706264784,0.332655828718714,320.15487678244733,56.977389492653174,430.790892130896,12.254315189591683
2021,November,Yala,Anuradhapura,25.304644810289712,17.391576643613057,91.63383117269863,0.3524507961527959,0.6125501235478913,276.8906655324536,57.94309325627148,475.49884449459427,37.09809408253176
2019,August,Yala,Polannaruwa,28.746922752120295,2.0338301654497024,69.71738695630012,0.3470415199419907,0.6444776087659025,295.67280632513433,60.0075798367466,308.638969600724,8.757287613428007
2020,September,Yala,Polannaruwa,27.880732388010234,3.861090796295133,76.27878294870838,0.3235140149849942,0.45836985828144505,298.20116188547826,59.903740840606744,313.0212797000591,15.380529649903345
2024,August,Yala,Anuradhapura,28.258995889012688,3.8095912644816567,76.84478784868992,0.29249327336491426,0.5713693008514645,274.8833963844963,58.05265722982585,477.21148008264214,21.360948583478002
2019,August,Yala,Matale,25.733696670358512,4.185988077726059,78.37759331516202,0.276309054222223,0.3590035870085945,321.3308702427694,57.140592492582755,432.3835640502519,34.44155877041971
2021,September,Yala,Kurunegala,25.236367251164523,4.357024049704699,85.54365643813408,0.46300133868481336,0.6008977112035703,335.09640023435855,57.076971305639674,398.01638905497566,18.220097323514203
2022,October,Yala,Matale,24.755918004032516,7.704188367757026,85.45705152302352,0.22462632788315914,0.5018077661952408,320.1865942826139,57.004144230204076,436.68771944405455,2.5305318769039378
2019,August,Yala,Matale,25.892332008343928,3.9850775953825273,77.8926610467072,0.27319105662441995,0.35412900490209126,320.4648107978351,57.01159743577203,432.8072806859724,34.1567684633224
2024,September,Yala,Anuradhapura,28.945499956913945,0.7959551507335682,73.18477645043642,0.2036242778709259,0.27781655125181515,272.3099381884742,58.04061214032039,475.3133156292025,21.362492415440954
2024,June,Yala,Matale,26.625999991400512,2.1777315248965,82.94443141305464,0.21825509952226438,0.47340070756473895,322.3227640002661,57.05563265558457,427.5964127984723,14.726463438170832
2020,September,Yala,Matale,25.109251620446393,5.484208970865651,84.25122391803902,0.23711364158115417,0.3373684764147192,319.95945780466025,56.96025430110935,431.32736598051406,12.970680372571685
2022,August,Yala,Anuradhapura,27.156635888547687,2.7784249318133116,77.20441956469678,0.4176426964587929,0.6225239116857947,275.4707108990951,58.06191502946168,478.7699554467689,5.536096939425928
2024,July,Yala,Matale,26.424900530375243,1.3686867467020023,80.5643591282281,0.3135565405341102,0.4792290491215894,320.27015971810727,56.888733754745516,436.0351438845231,26.657257483979386
2020,September,Yala,Polannaruwa,27.839397082816284,4.213896937266609,76.05455034146776,0.3321271091180528,0.463862400056177,297.0900164265111,59.94229663163177,313.387401081897,15.55075668158051
2023,September,Yala,Anuradhapura,28.32212125848091,2.479211567252872,72.99304599897899,0.30636024213754587,0.6451365312642827,273.91800812999645,57.91567999224243,477.95684506649724,19.911087471084244
2024,June,Yala,Anuradhapura,28.05728293370882,0.7188894069822406,79.5460706579079,0.42074082272211466,0.6228046347274715,275.0641873105857,58.054741037470414,475.5168645386796,15.806800750324534
2022,September,Yala,Matale,25.096179391441,3.0332847353852723,84.02423306375022,0.3357135555385646,0.4709985559114543,323.96939723899374,56.95127377879125,437.1074989704764,3.9012721252691813
2024,June,Yala,Matale,26.522837263287926,2.143470396851236,82.82790604872046,0.21155271999291436,0.4646641855373007,319.5838025366815,57.02159430479197,431.5486031477811,13.50478671976793
2020,October,Yala,Anuradhapura,27.548176829061354,1.9981662198268635,76.46202568911033,0.38467486052831545,0.6201232896046647,277.3281575099733,57.870408083199536,475.5983629250427,10.103560020753976
2024,October,Yala,Kurunegala,25.799655003192544,4.229964354426391,83.26758423646977,0.41801088245668955,0.6018248456716824,339.4524036074794,57.11955624525174,395.9896077774357,36.32329944861322
2024,October,Yala,Kurunegala,26.0655817945858,3.7717451386319936,82.66508940897435,0.42018625570497625,0.6063286433741144,336.84899500511864,56.95062070321563,397.5575729613607,35.70764041328633
2023,October,Yala,Matale,25.049554792295076,13.814132070310496,87.45535361227455,0.37584053592748373,0.6285281864964917,322.499471451443,56.94544004608474,430.0301750460038,21.280466084765163
2024,October,Yala,Kurunegala,25.935673738513263,4.168369664287444,83.50111417941474,0.41203866396002353,0.6021921317744556,337.1397845457589,57.02026277109966,393.2717874970706,35.306152800567
